   8.5267522e+00   8.3925436e+00   7.4887750e+00   6.0325249e+00   4.1801705e+00   5.1648116e+00   7.2138181e+00   7.0551650e+00
   7.4655632e+00   8.9250383e+00   6.6105825e+00   5.4560605e+00   4.3456968e+00   5.0483357e+00   6.2241356e+00   6.3498300e+00
   8.4759675e+00   1.0830654e+01   1.0504938e+01   8.3137326e+00   6.7106648e+00   4.2609317e+00   5.4132485e+00   2.9595824e+00
   9.8773294e+00   1.0784099e+01   1.3174557e+01   6.2240630e+00   2.8557593e+00   5.9652723e-01   8.5316721e-01   8.0765167e-01
   1.2262801e+01   9.3236762e+00   1.0678097e+01   1.5906450e+00   1.5394737e+00  -1.8590668e+00  -2.1315319e+00  -9.7512369e-01
   9.7239337e+00   6.8752175e+00   3.5823137e+00   8.8024753e-01   2.4911274e-01   5.2258666e-01  -5.1285055e-01   8.8758327e-01
   8.2636009e+00   5.4964769e+00   2.7338240e+00   1.0750972e-01  -2.9166252e-01   8.0014972e-01  -7.2906850e-02   1.5899499e+00
  -9.0961184e+00  -3.4266104e+00  -5.6323140e-01  -2.3204282e-02  -2.2084595e+00  -2.2989538e+00  -2.4837765e+00  -4.4875198e+00
  -7.4283266e+00  -2.3008373e+00  -2.7073098e-02   9.2638732e-02  -2.2307682e+00  -1.9213181e+00  -2.2694239e+00  -4.0286898e+00
  -8.3094402e+00  -5.3794640e+00  -4.0128594e+00  -6.4461025e+00  -4.1299313e+00  -1.6913399e+00  -3.1366317e+00  -4.0331643e+00
  -9.1136929e+00  -6.7800033e+00  -7.7485349e+00  -6.2997858e+00  -3.2953235e+00  -2.6219479e+00  -7.1678197e-01  -2.6505915e+00
  -1.1859154e+01  -4.0195239e+00  -1.7452512e+00  -4.1117599e-01  -3.5548380e-01  -1.5448702e+00  -5.0858854e-01  -1.5816704e+00
  -1.0714576e+01  -5.8575052e+00  -1.4267879e+00  -3.3465032e+00  -3.4978462e+00  -3.1399015e+00  -3.1862411e+00  -3.4331913e+00
  -9.4069396e+00  -4.8969081e+00  -4.9461828e-01  -2.7704928e+00  -3.2927899e+00  -3.9319219e+00  -3.7195668e+00  -3.3499612e+00
  -2.8506881e-02  -1.8319427e-01  -2.5927077e-01  -1.5453395e-01  -1.1019485e-01  -2.2060109e-01  -1.2546000e+00  -4.5548328e-01
  -1.7098936e-01  -4.0314960e-01  -4.6492453e-01  -1.8902947e-01   2.0044732e-02  -1.5613793e-01  -1.3352887e+00  -5.0526912e-01
  -5.0519252e-01  -5.5593950e-01  -8.3484781e-01  -8.6141550e-01  -1.7819042e-01  -5.9585036e-02  -2.7634029e-01  -7.0235194e-01
  -1.3017445e-01  -1.5031655e-01  -3.3212602e-01  -7.7202068e-01  -3.2985750e-01  -9.8243935e-03   1.1841899e-01  -4.4041032e-01
   2.6900920e-02  -1.2421106e-01   3.3523862e-02   3.2882089e-01   4.0824340e-01  -6.2316508e-01  -5.1714324e-01   9.2583721e-02
   7.6213637e-02  -1.3478050e-01  -2.3340589e-01   6.0596581e-01   1.0774735e+00  -7.2905587e-01  -7.8815266e-01   1.6956333e-01
   5.3713206e-02  -1.2502213e-01  -2.5713798e-01   6.4642347e-01   1.1778872e+00  -7.4118509e-01  -6.6752758e-01   3.2670435e-01
   5.6617260e-02   5.6617260e-02   5.6617260e-02   5.6617260e-02   4.2914629e-01   4.2914629e-01   2.4288177e-01   4.2914629e-01
   5.6617260e-02   5.6617260e-02  -1.2964725e-01  -1.2964725e-01   4.2914629e-01   4.2914629e-01   5.6617260e-02   2.4288177e-01
  -1.2964725e-01  -1.2964725e-01  -3.1591177e-01  -3.1591177e-01   5.6617260e-02   2.4288177e-01   5.6617260e-02  -1.2964725e-01
  -1.2964725e-01  -3.1591177e-01  -3.1591177e-01  -5.0217628e-01  -1.2964725e-01   2.4288177e-01   5.6617260e-02  -3.1591177e-01
   5.6617260e-02  -3.1591177e-01  -1.2964725e-01   4.2914629e-01   9.8793983e-01  -3.1591177e-01   5.6617260e-02   6.1541080e-01
   5.6617260e-02  -1.2964725e-01  -1.2964725e-01   6.1541080e-01   1.1742043e+00  -8.7470531e-01  -8.7470531e-01   6.1541080e-01
   5.6617260e-02  -1.2964725e-01  -1.2964725e-01   8.0167532e-01   1.3604689e+00  -1.0609698e+00  -8.7470531e-01   8.0167532e-01
  -4.1607038e+01  -4.6019573e+01  -4.7891083e+01  -4.9263762e+01  -4.9508757e+01  -4.8837383e+01  -4.9214039e+01  -4.9746702e+01
  -4.0318078e+01  -4.3576930e+01  -4.4984745e+01  -4.6932769e+01  -4.7500159e+01  -4.6887081e+01  -4.7159517e+01  -4.7700139e+01
